id_caso,clasificacion,evidencia_disponible,decision_tomada,decision_esperada,causa_probable,gravedad,politica_involucrada,propuesta_correccion
DEST-059,ERROR_CLASIFICACION,"{""estado_externo"": ""CONSULTA_NO_AUTORIZADA"", ""externa"": false, ""internas"": 2}",CONSULTA_NO_AUTORIZADA,DATOS_INSUFICIENTES,Clasificación conservadora o respuesta inesperada.,MEDIA,destino,Revisar en un bloque posterior; no ajustar esta corrida.
DEST-060,ERROR_CLASIFICACION,"{""estado_externo"": ""CONSULTA_NO_AUTORIZADA"", ""externa"": false, ""internas"": 2}",CONSULTA_NO_AUTORIZADA,DATOS_INSUFICIENTES,Clasificación conservadora o respuesta inesperada.,MEDIA,destino,Revisar en un bloque posterior; no ajustar esta corrida.
DEST-061,ERROR_CLASIFICACION,"{""estado_externo"": ""CONSULTA_NO_AUTORIZADA"", ""externa"": false, ""internas"": 2}",CONSULTA_NO_AUTORIZADA,DATOS_INSUFICIENTES,Clasificación conservadora o respuesta inesperada.,MEDIA,destino,Revisar en un bloque posterior; no ajustar esta corrida.
DEST-062,ERROR_CLASIFICACION,"{""estado_externo"": ""CONSULTA_NO_AUTORIZADA"", ""externa"": false, ""internas"": 2}",CONSULTA_NO_AUTORIZADA,DATOS_INSUFICIENTES,Clasificación conservadora o respuesta inesperada.,MEDIA,destino,Revisar en un bloque posterior; no ajustar esta corrida.
DEST-063,ERROR_CLASIFICACION,"{""estado_externo"": ""CONSULTA_NO_AUTORIZADA"", ""externa"": false, ""internas"": 2}",CONSULTA_NO_AUTORIZADA,DATOS_INSUFICIENTES,Clasificación conservadora o respuesta inesperada.,MEDIA,destino,Revisar en un bloque posterior; no ajustar esta corrida.
DEST-064,ERROR_CLASIFICACION,"{""estado_externo"": ""CONSULTA_NO_AUTORIZADA"", ""externa"": false, ""internas"": 2}",CONSULTA_NO_AUTORIZADA,DATOS_INSUFICIENTES,Clasificación conservadora o respuesta inesperada.,MEDIA,destino,Revisar en un bloque posterior; no ajustar esta corrida.
